순위,종목명,종목코드,시장,PER,PER점수(/20),PBR,PBR점수(/5),배당수익률(%),배당수익률점수(/10),분기배당,분기배당점수(/5),배당연속인상(년),배당인상점수(/5),자사주비율(%),자사주비율점수(/5),자사주매입소각,매입소각점수(/7),이익_지속가능성(5),중복_상장여부(5),연간_소각비율(8),미래_성장잠재력(10),기업_경영(10),세계적_브랜드(5),정량합계,정성합계,최종점수,메모
151,Extra Space Storage Inc,EXR,NYQ,31.6,5,2.29,0,4.7,5,O,5,0,0,0.0,5,O,7,,,,,,,27,=SUM(S152:X152),=Y152+Z152,
152,Ferrovial SE,FER,NMS,50.3,5,7.53,0,1.4,2,O,5,5,4,1.8,4,O,7,,,,,,,27,=SUM(S153:X153),=Y153+Z153,
153,"ONEOK, Inc.",OKE,NYQ,16.0,5,2.42,0,4.8,5,O,5,3,3,4.0,2,O,7,,,,,,,27,=SUM(S154:X154),=Y154+Z154,
154,Chevron Corporation,CVX,NYQ,30.9,5,2.04,0,3.6,5,O,5,38,5,18.8,0,O,7,,,,,,,27,=SUM(S155:X155),=Y155+Z155,
155,"Stanley Black & Decker, Inc.",SWK,NYQ,27.8,5,1.23,0,4.5,5,O,5,28,5,12.6,0,O,7,,,,,,,27,=SUM(S156:X156),=Y156+Z156,
156,Tradeweb Markets Inc.,TW,NMS,32.3,5,4.04,0,0.4,2,O,5,3,3,0.0,5,O,7,,,,,,,27,=SUM(S157:X157),=Y157+Z157,
157,AECOM,ACM,NYQ,24.1,5,5.06,0,1.2,2,O,5,3,3,0.0,5,O,7,,,,,,,27,=SUM(S158:X158),=Y158+Z158,
158,Expand Energy Corporation,EXE,NMS,13.1,5,1.29,0,3.2,5,O,5,1,0,0.0,5,O,7,,,,,,,27,=SUM(S159:X159),=Y159+Z159,
159,Equity Residential,EQR,NYQ,21.0,5,2.13,0,4.6,5,O,5,1,0,0.0,5,O,7,,,,,,,27,=SUM(S160:X160),=Y160+Z160,
160,"Apollo Global Management, Inc. ",APO,NYQ,17.7,5,2.65,0,1.9,2,O,5,3,3,0.0,5,O,7,,,,,,,27,=SUM(S161:X161),=Y161+Z161,
161,"Tyson Foods, Inc.",TSN,NYQ,115.8,5,1.29,0,3.1,5,O,5,12,5,21.2,0,O,7,,,,,,,27,=SUM(S162:X162),=Y162+Z162,
162,Baker Hughes Company,BKR,NMS,24.4,5,3.35,0,1.5,2,O,5,4,3,0.0,5,O,7,,,,,,,27,=SUM(S163:X163),=Y163+Z163,
163,Principal Financial Group Inc,PFG,NMS,16.9,5,1.68,0,3.3,5,O,5,17,5,56.4,0,O,7,,,,,,,27,=SUM(S164:X164),=Y164+Z164,
164,General Motors Company,GM,NYQ,25.7,5,1.13,0,0.7,2,O,5,3,3,0.0,5,O,7,,,,,,,27,=SUM(S165:X165),=Y165+Z165,
165,Antero Midstream Corporation,AM,NYQ,25.8,5,5.40,0,4.1,5,O,5,0,0,0.0,5,O,7,,,,,,,27,=SUM(S166:X166),=Y166+Z166,
166,Global Payments Inc.,GPN,NYQ,11.2,5,0.68,3,1.5,2,O,5,0,0,0.0,5,O,7,,,,,,,27,=SUM(S167:X167),=Y167+Z167,
167,"NetEase, Inc.",NTES,NMS,14.8,5,15.55,0,2.7,2,O,5,4,3,0.0,5,O,7,,,,,,,27,=SUM(S168:X168),=Y168+Z168,
